,Countries,Total Cases,Todays Cases,Total Deaths
114,106,Slovakia,"1,548",
115,107,Albania,"1,521",
116,108,New Zealand,"1,504",
117,109,Slovenia,"1,495",
118,110,Nicaragua,"1,464",
119,111,Guinea-Bissau,"1,460",
120,112,Lebanon,"1,446",
121,113,Zambia,"1,358",
122,114,Equatorial Guinea,"1,306",
123,115,Paraguay,"1,289",
124,116,Madagascar,"1,272",
125,117,French Guiana,"1,255",
126,118,Sierra Leone,"1,169",
127,119,Hong Kong,"1,110",
128,120,Latvia,"1,097",
129,121,Tunisia,"1,096",
130,122,Cyprus,983,
131,123,Niger,980,
132,124,Jordan,961,
133,125,Burkina Faso,894,
134,126,Georgia,879,+15
135,127,Andorra,853,
136,128,Chad,850,
137,129,Uruguay,848,
138,130,Cabo Verde,750,
139,131,Yemen,728,
140,132,Congo,728,
141,133,Diamond Princess,712,
142,134,Uganda,696,
143,135,San Marino,694,
144,136,Sao Tome and Principe,661,
145,137,Malta,649,
146,138,Jamaica,617,+2
147,139,Mozambique,583,
148,140,Rwanda,582,
149,141,Channel Islands,565,
150,142,Malawi,547,
151,143,Togo,531,+1
152,144,Tanzania,509,
153,145,Réunion,495,
154,146,Palestine,492,
155,147,Eswatini,490,
156,148,Benin,470,+28
157,149,Liberia,458,
158,150,Libya,454,
159,151,Taiwan,445,+2
160,152,Zimbabwe,383,
161,153,Mauritius,337,
162,154,Isle of Man,336,
163,155,Vietnam,334,
164,156,Montenegro,325,
165,157,Myanmar,261,
166,158,Suriname,208,
167,159,Martinique,202,
168,160,Mongolia,197,
169,161,Cayman Islands,187,
170,162,Faeroe Islands,187,
171,163,Syria,177,
172,164,Comoros,176,
173,165,Gibraltar,176,
174,166,Guadeloupe,171,
175,167,Guyana,159,
176,168,Bermuda,142,
177,169,Brunei ,141,
178,170,Angola,140,
179,171,Cambodia,128,
180,172,Trinidad and Tobago,123,
181,173,Bahamas,103,
182,174,Aruba,101,
183,175,Monaco,99,
184,176,Barbados,96,
185,177,Eritrea,96,
186,178,Burundi,85,
187,179,Liechtenstein,82,
188,180,Sint Maarten,77,
189,181,Bhutan,66,
190,182,Botswana,60,
191,183,French Polynesia,60,
192,184,Macao,45,
193,185,Saint Martin,42,
194,186,Namibia,32,
195,187,Gambia,28,
196,188,St. Vincent Grenadines,27,
197,189,Antigua and Barbuda,26,
198,190,Timor-Leste,24,
199,191,Grenada,23,
200,192,Curaçao,22,
201,193,New Caledonia,21,
202,194,Belize,20,
203,195,Laos,19,
204,196,Saint Lucia,19,
205,197,Dominica,18,
206,198,Fiji,18,
207,199,Saint Kitts and Nevis,15,
208,200,Falkland Islands,13,
209,201,Greenland,13,
210,202,Turks and Caicos,12,
211,203,Vatican City,12,
212,204,Montserrat,11,
213,205,Seychelles,11,
214,206,MS Zaandam,9,
215,207,Western Sahara,9,
216,208,British Virgin Islands,8,
217,209,Papua New Guinea,8,
218,210,Caribbean Netherlands,7,
219,211,St. Barth,6,
220,212,Lesotho,4,
221,213,Anguilla,3,
222,214,Saint Pierre Miquelon,1,
223,215,China,"83,181",+49
